Filename,Full Observation,Core Observation Sentence,Contains Cause & Effect? (yes/no),Cause related to engineered products? (yes/no),Effect related to economic impact? (yes/no),Relevant Portion of the Observation
A methodology for near net shape process feasibility assessment.txt,"The case study concludes that the application of this process to the current manufacturing lines could result in significant cost reductions (particularly in machining time and reduction of scrappage). The feasibility methodology is  generic and can potentially be used to investigate the application of a  broad range of NNS processes in general manufacturing applications.  Further, the developed cost models also allow the economic impact of a new process to be assessed, even at the early stages of product design. 1. Introduction Near Net Shape (NNS) is a generic term given to manufacturing processes that aim to  produce products which are close to the final shape and material of the component.","Further, the developed cost models also allow the economic impact of a new process to be assessed, even at the early stages of product design",yes,yes,yes,"""The case study concludes that the application of this process to the current manufacturing lines could result in significant cost reductions (particularly in machining time and reduction of scrappage).  Further, the developed cost models also allow the economic impact of a new process to be assessed, even at the early stages of product design."""
A methodology for near net shape process feasibility assessment.txt,"NNS processes feasibility approaches: a literature survey The following sections provide a brief summary of the academic work reported on NNS  processes and assessment. For more detailed information see (Marini et al., 2017). NNS is often a relative rather than an absolute property, so consequentially many  authors have reported various form of using differential analysis in their academic investi- gations: for example, (Morita, Hattori, Tani, Takemura, & Ashida, 1991; Witulski, Heussen,  Winkelmann, Hirt, & Kopp, 1994), similarly studies of different combinations of processes and product designs (Bewlay et al., 2003) or even different combinations of processes,  product designs and materials (Cominotti & Gentili, 2008) have been reported. Authors  use comparison criteria which include process economics (Cominotti & Gentili, 2008) and  technological output evaluations (Bewlay et al., 2003; Morita et al., 1991; Witulski et al.,  1994). The technological output evaluation considers product quality, product conformity and the generic proprieties (e.g.","NNS is often a relative rather than an absolute property, so consequentially many  authors have reported various form of using differential analysis in their academic investi- gations: for example, (Morita, Hattori, Tani, Takemura, & Ashida, 1991; Witulski, Heussen,  Winkelmann, Hirt, & Kopp, 1994), similarly studies of different combinations of processes and product designs (Bewlay et al., 2003) or even different combinations of processes,  product designs and materials (Cominotti & Gentili, 2008) have been reported",yes,yes,no,
A network analysis using metadata to investigate innovation in clean tech Implications for energy policy..txt,"1. Introduction 1.1. The clean-tech industry: de ﬁnition and economic trends The current unsustainable models of production and energy use have resulted in a vibrant market in clean-technology (clean-tech) centered on technological innovation and improved environmentalperformance. Clean-tech is de ﬁned as any product, service or pro- cess that delivers value using fewer resources and producing lesspollution than current standards stipulate ( Cooke, 2008 ). Therefore, any innovation that results in improved environmental perfor- mance falls under the clean-tech umbrella: recycling, renewable energy (wind-power, solar-power, biomass, hydropower, biofuels),information technology, green transportation, green buildings,electric motors, green chemistry, lighting, gray-water, and manyother energy ef ﬁcient appliances ( Pernick and Wilder, 2007 ).",The clean-tech industry: de ﬁnition and economic trends The current unsustainable models of production and energy use have resulted in a vibrant market in clean-technology (clean-tech) centered on technological innovation and improved environmentalperformance,yes,yes,yes,"""The current unsustainable models of production and energy use have resulted in a vibrant market in clean-technology (clean-tech) centered on technological innovation and improved environmentalperformance. Clean-tech is de ﬁned as any product, service or pro- cess that delivers value using fewer resources and producing lesspollution than current standards stipulate ( Cooke, 2008 ). Therefore, any innovation that results in improved environmental perfor- mance falls under the clean-tech umbrella: recycling, renewable energy (wind-power, solar-power, biomass, hydropower, biofuels),information technology, green transportation, green buildings,electric motors, green chemistry, lighting, gray-water, and manyother energy ef ﬁcient appliances ( Pernick and Wilder, 2007 )."""
A network analysis using metadata to investigate innovation in clean tech Implications for energy policy..txt,"Since innovation is fostered by a plethora of high-tech start-ups and SMEs, which often need to enter horizontal joint ventures and vertical R&D agreements, any empirical-based attempt to detect the pattern of innovation in the clean-tech industry is challenging ( Tan, 2010 ). It has been estimated that start-ups make up over 90% of clean- tech in UK, which compares similarly to other sectors like ICT ( UK BIS, 2010 ) or biotechnology, and differs from industries like mining where large companies dominate. Obtaining updated, detailed and reliable information about the pattern of technological innovation in this fast growing and highly fragmented market is fundamental for private sector players as well as policy makers and yet iden- tifying driving products, services, technologies and com- plementarities in the industry is key to ensure its continued growth. This paper proposes an investigation of innovation in clean- tech using metadata provided by CrunchBase, the world's most comprehensive database on high-tech companies. Metadata are tags, keywords and terms that help describe an item and that in the database reveal products, services and technologies driving innovation.","Obtaining updated, detailed and reliable information about the pattern of technological innovation in this fast growing and highly fragmented market is fundamental for private sector players as well as policy makers and yet iden- tifying driving products, services, technologies and com- plementarities in the industry is key to ensure its continued growth",no,no,no,
A nexus between macroeconomic dynamics and trade openness - moderating role of institutional quality..txt,"A nexus between macroeconomic dynamics and trade openness: moderating role of institutional quality Yu Zhuang School of Economics and Management, Xi ’an University of Technology, Xi’an, China and Business School, Xinxiang University, Xinxiang, China Shuili Yang School of Economics and Management, Xi ’an University of Technology, Xi’an, China Supat Chupradit Department of Occupational Therapy, Faculty of Associated Medical Sciences, Chiang Mai University, Chiang Mai, Thailand Muhammad Atif Nawaz Department of Economics, The Islamia University of Bahawalpur, Bahawalpur, Pakistan Rong Xiong Rajamangala University of Technology Krungthep, Sathorn, Thailand, and Cihat Koksal Department of International Trade, Faculty of Business, Istanbul Commerce University, Istanbul, Turkey Abstract Purpose –First, the current study contributes to the available debate by reinvestigating the impact of economic growth (EG), foreign direct investment (FDI), technological innovation (T I) and inflation (INF) on trade openness (TO). Second, the study tests the mode rating role of institutional quality (INS) on the relationship among EG, FDI, TI and TO. Third, the s tudy tests how TO contributes to EG efficiency.","A nexus between macroeconomic dynamics and trade openness: moderating role of institutional quality Yu Zhuang School of Economics and Management, Xi ’an University of Technology, Xi’an, China and Business School, Xinxiang University, Xinxiang, China Shuili Yang School of Economics and Management, Xi ’an University of Technology, Xi’an, China Supat Chupradit Department of Occupational Therapy, Faculty of Associated Medical Sciences, Chiang Mai University, Chiang Mai, Thailand Muhammad Atif Nawaz Department of Economics, The Islamia University of Bahawalpur, Bahawalpur, Pakistan Rong Xiong Rajamangala University of Technology Krungthep, Sathorn, Thailand, and Cihat Koksal Department of International Trade, Faculty of Business, Istanbul Commerce University, Istanbul, Turkey Abstract Purpose –First, the current study contributes to the available debate by reinvestigating the impact of economic growth (EG), foreign direct investment (FDI), technological innovation (T I) and inflation (INF) on trade openness (TO)",yes,yes,yes,"""First, the current study contributes to the available debate by reinvestigating the impact of economic growth (EG), foreign direct investment (FDI), technological innovation (T I) and inflation (INF) on trade openness (TO)."""
A nexus between macroeconomic dynamics and trade openness - moderating role of institutional quality..txt,"(2019) , the increase in the flow of foreign investment reduces the financial barriers to the production of goods and services to export. Researchers argued that institutions play a significant role in capturing the positive role of FDI on internal trade. Technological innovation (TI) is also an influencing factor for international trade. The composition of trade is highly affected through T I which fosters international trade in definite goods, that is,. time sensitive products.",Technological innovation (TI) is also an influencing factor for international trade,yes,yes,yes,"""Technological innovation (TI) is also an influencing factor for international trade. The composition of trade is highly affected through TI which fosters international trade in definite goods, that is, time sensitive products."""
A nexus between macroeconomic dynamics and trade openness - moderating role of institutional quality..txt,"Moreover, INS is used as a moderating variable. Table A1 provides the sources of data for each variable and their measuring units. Model specification The present study uses following models in order to analyze the data: TO it¼α0þα1ðEGÞitþα2ðFDIÞitþα3ðTIÞitþα4ðINFÞitþε1t (1) TO it¼β0þβ1ðEGÞtþβ2ðFDIÞitþβ3ðTIÞitþβ4ðINFÞitþβ5ðINSÞitþε2it (2) TO it¼δ0þδ1ðEGÞtþδ2ðFDIÞitþδ3ðTIÞitþδ4ðINFÞitþ∝1ðEG*INSÞit þ∝2ðFDI*INSÞitþ∝3ðIT*INSÞitþ∝4ðINF*INSÞitþε3it(3) ECE¼γ0ðTOÞþε4it (4) TO is trade openness, EG is economic growth , FDI is foreign direct investment, TI is technological innovation, INF is inflation, ECE is economic efficiency, EG*INS, FDI*INS, IT*INS and INF*INS are interaction terms α0,β0,δ0andγ0are intercept terms in model 1, 2, 3 and 4, respectively; δ1toδ4are the parameters of the independent variables in model 3, ∝1 to∝4are the parameters of the moderating effect in model 3, γ0is the parameter of independent variable in model 4, εis the stochastic error terms that are assumed to be normally distributed for the country iand time t. Model 1 is used to accomplish the 1st objective of the study which is used to test the empirical relationship among EG, FDI, TI, INF and TO. Model 2 and model 3 are used to acco mplish the second objective of the study.","Model specification The present study uses following models in order to analyze the data: TO it¼α0þα1ðEGÞitþα2ðFDIÞitþα3ðTIÞitþα4ðINFÞitþε1t (1) TO it¼β0þβ1ðEGÞtþβ2ðFDIÞitþβ3ðTIÞitþβ4ðINFÞitþβ5ðINSÞitþε2it (2) TO it¼δ0þδ1ðEGÞtþδ2ðFDIÞitþδ3ðTIÞitþδ4ðINFÞitþ∝1ðEG*INSÞit þ∝2ðFDI*INSÞitþ∝3ðIT*INSÞitþ∝4ðINF*INSÞitþε3it(3) ECE¼γ0ðTOÞþε4it (4) TO is trade openness, EG is economic growth , FDI is foreign direct investment, TI is technological innovation, INF is inflation, ECE is economic efficiency, EG*INS, FDI*INS, IT*INS and INF*INS are interaction terms α0,β0,δ0andγ0are intercept terms in model 1, 2, 3 and 4, respectively; δ1toδ4are the parameters of the independent variables in model 3, ∝1 to∝4are the parameters of the moderating effect in model 3, γ0is the parameter of independent variable in model 4, εis the stochastic error terms that are assumed to be normally distributed for the country iand time t",no,,,
A nexus between macroeconomic dynamics and trade openness - moderating role of institutional quality..txt,"Ahmad, M., Jiang, P., Majeed, A., Umar, M., Khan, Z. and Muhammad, S. (2020), “The dynamic impact of natural resources, technological innovations and economic growth on ecological footprint: an advanced panel data estimation ”,Resources Policy , Vol. 69, pp. 10-18, doi: 10.1016/j.resourpol.","(2020), “The dynamic impact of natural resources, technological innovations and economic growth on ecological footprint: an advanced panel data estimation ”,Resources Policy , Vol",no,,,
A nexus between macroeconomic dynamics and trade openness - moderating role of institutional quality..txt,"Chen, W. and Lei, Y. (2018), “The impacts of renewable energy and technological innovation on environment-energy-growth nexus: new evidence from a panel quantile regression ”,Renewable Energy , Vol. 123, pp. 1-14.","(2018), “The impacts of renewable energy and technological innovation on environment-energy-growth nexus: new evidence from a panel quantile regression ”,Renewable Energy , Vol",no,,,
A nexus between macroeconomic dynamics and trade openness - moderating role of institutional quality..txt,"Su, C.-W., Naqvi, B., Shao, X.-F., Li, J.-P. and Jiao, Z. (2020), “Trade and technological innovation: the catalysts for climate change and way forward for COP21 ”,Journal of Environmental Management , Vol. 269, pp. 110-131.","(2020), “Trade and technological innovation: the catalysts for climate change and way forward for COP21 ”,Journal of Environmental Management , Vol",no,,,
